Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"219.48"
Total credits,,"116657.85"
Total debits,,"-108534.02"
Ending balance as of 12/31/2022,,"8343.31"

Date,Description,Amount,Running Bal.
04/18/2022,"RALPHS #0 1090 04/18 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-92.14","79954.30"
04/18/2022,"RALPHS #0 1090 04/18 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-21.19","79933.11"
04/19/2022,"AMZN MKTP US*1A1IJ8SQ2 04/18 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-32.84","79900.27"
04/20/2022,"AMZN MKTP US*1O7373KG1 04/18 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.40","79870.87"
04/20/2022,"AMZN MKTP US*1O1T32K21 04/18 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-30.65","79840.22"
04/21/2022,"AMZN Mktp US*1A26W3R82 04/15 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-40.48","79799.74"
04/21/2022,"AMZN MKTP US*1O1TD24Y0 04/20 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-75.54","79724.20"
04/22/2022,"AMZN Mktp US*1Q6QC8FT1 04/21 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-33.91","79690.29"
04/25/2022,"AMZN MKTP US*1Q8SV8JY1 04/21 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-65.68","79624.61"
04/25/2022,"AMAZON.COM*1O9Q42J42 AM 04/22 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-31.53","79593.08"
04/25/2022,"GREENLAND MARKET VAN NU 04/23 PURCHASE VAN NUYS CA DEBIT CARD *4717","-412.56","79180.52"
04/25/2022,"RALPHS #0 5429 04/24 PURCHASE LOS ANGELES CA DEBIT CARD *2943","-57.94","79122.58"
04/25/2022,"RALPHS #0 1090 04/24 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-37.93","79084.65"
04/27/2022,"AMZN MKTP US*1Q9Y749W1 04/26 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-21.87","79062.78"
04/29/2022,"AMZN Mktp US*1317E8OT1 04/27 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-9.08","79053.70"
04/29/2022,"AMZN MKTP US*1Q25824I0 04/28 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.10","79024.60"
05/02/2022,"STAPLES 00113472 04/28 PURCHASE BURBANK CA DEBIT CARD *2943","-28.65","78995.95"
05/02/2022,"AMZN MKTP US*139I92LM1 04/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-25.91","78970.04"
05/02/2022,"AMZN MKTP US*1Q18N4NL0 04/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.84","78940.20"
05/02/2022,"PRESSED JUICERY, INC. 04/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","78930.20"
05/02/2022,"AMAZON.COM*1Q6UP7X70 AM 05/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-9.84","78920.36"
05/02/2022,"AMZN MKTP US*1328M0GW1 05/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-23.00","78897.36"
05/03/2022,"THE HOME DEPOT 05/02 PURCHASE N. HOLLYWOOD CA DEBIT CARD *2943","-85.28","78812.08"
05/03/2022,"GUSTO DES:FEE 857874 ID:6semjrm0lq9 INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","78713.08"
05/04/2022,"AMZN MKTP US*1Q90V3DM0 05/02 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-328.49","78384.59"
05/05/2022,"TRADER JOE'S # 05/04 PURCHASE TOLUCA LAKE CA DEBIT CARD *2943","-146.98","78237.61"
05/06/2022,"IN *AQUATECH WATER SYST 05/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","78212.61"
05/09/2022,"AMAZON.COM*135CA5ZG2 AM 05/05 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-12.00","78200.61"
05/09/2022,"WWW COSTCO COM 05/07 PURCHASE 800-955-2292 WA DEBIT CARD *2943","-60.00","78140.61"
05/09/2022,"WWW COSTCO COM 05/07 PURCHASE 800-955-2292 WA DEBIT CARD *2943","-208.02","77932.59"
05/11/2022,"AMZN MKTP US*1331C6D92 05/10 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-81.15","77851.44"
05/13/2022,"AMAZON.COM*1L0GH9W41 AM 05/12 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-8.98","77842.46"
05/13/2022,"AMZN MKTP US*133DY8IA2 05/12 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-24.52","77817.94"
05/16/2022,"AMZN MKTP US AMZN.COM/B 05/14 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","81.15","77899.09"
05/16/2022,"AMZN MKTP US*1L0SC7OS2 05/12 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.32","77883.77"
05/16/2022,"AMZN MKTP US*1R2W72A31 05/14 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-146.47","77737.30"
05/19/2022,"ADANA RESTAURANT INC 05/18 PURCHASE GLENDALE CA DEBIT CARD *4717","-205.51","77531.79"
05/20/2022,"LUNASIA DIM SUM HOUSE 05/19 PURCHASE PASADENA CA DEBIT CARD *4717","-72.00","77459.79"
05/20/2022,"AMZN Mktp US*1L56J72H0 05/20 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-31.06","77428.73"
05/23/2022,"AMZN MKTP US AMZN.COM/B 05/22 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","56.39","77485.12"
05/23/2022,"AMZN MKTP US*1L9K41R92 05/19 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-20.77","77464.35"
05/23/2022,"AMAZON.COM*1L1YU5I82 AM 05/19 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-32.78","77431.57"
05/23/2022,"AMZN MKTP US*1L09K0WY2 05/20 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-20.77","77410.80"
05/23/2022,"AMZN MKTP US*1L5DR89O0 05/20 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-5.87","77404.93"
05/23/2022,"AMZN MKTP US*1R9EC2CY2 05/20 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-24.08","77380.85"
05/23/2022,"AMZN MKTP US*1L32F4ID0 05/20 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-14.22","77366.63"
05/23/2022,"THE HOME DEPOT 05/23 PURCHASE BURBANK CA DEBIT CARD *2943","-243.04","77123.59"
05/24/2022,"AMZN MKTP US*1X5G271X1 05/23 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.76","77107.83"
05/24/2022,"AMZN MKTP US*1X1MW71C1 05/23 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-24.07","77083.76"
05/24/2022,"AMZN MKTP US*1R07341Y2 05/23 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-10.94","77072.82"
05/24/2022,"LOWES #01144* 05/23 PURCHASE BURBANK CA DEBIT CARD *4717","-419.24","76653.58"
05/25/2022,"AMZN MKTP US*1R7XS0P80 05/24 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-31.99","76621.59"
05/25/2022,"AMZN MKTP US*B34T297B3 05/24 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-28.80","76592.79"
05/26/2022,"THE HOME DEPOT 05/26 REFUND N. HOLLYWOOD CA DEBIT CARD *2943","190.53","76783.32"
05/26/2022,"AMZN Mktp US*4667L7B53 05/25 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-16.48","76766.84"
05/26/2022,"THE HOME DEPOT 05/26 PURCHASE N. HOLLYWOOD CA DEBIT CARD *2943","-113.34","76653.50"
05/26/2022,"THE HOME DEPOT 05/26 PURCHASE BURBANK CA DEBIT CARD *2943","-229.79","76423.71"
05/27/2022,"LOWES #01144* 05/26 REFUND BURBANK CA DEBIT CARD *4717","225.93","76649.64"
05/27/2022,"AMAZON.COM AMZN.COM/BIL 05/26 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","22.16","76671.80"
05/31/2022,"AMZN MKTP US*GV6NZ59Z3 05/27 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-59.30","76612.50"
05/31/2022,"RAFFI'S PLACE 05/29 PURCHASE GLENDALE CA DEBIT CARD *4717","-100.00","76512.50"
05/31/2022,"AMZN MKTP US*832N35WB3 05/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-64.08","76448.42"
05/31/2022,"AMZN MKTP US*1X8702NU0 05/30 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-48.88","76399.54"
05/31/2022,"PRESSED JUICERY, INC. 05/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","76389.54"
05/31/2022,"Check 1115","-8800.00","67589.54"
06/02/2022,"AMZN MKTP US*1X5AE2GE2 05/31 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-6.52","67583.02"
06/02/2022,"GUSTO DES:FEE 787763 ID:6semjrrtoje INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","67484.02"
06/03/2022,"GANAHL LUMBER - TORRANC 06/01 PURCHASE TORRANCE CA DEBIT CARD *4717","-5133.49","62350.53"
06/06/2022,"HOMEDEPOT.COM 06/01 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-311.60","62038.93"
06/06/2022,"GANAHL LUMBER - TORRANC 06/02 PURCHASE TORRANCE CA DEBIT CARD *4717","-655.55","61383.38"
06/06/2022,"SQ *SIMPLE ACCESS SYSTE 06/03 PURCHASE Los Angeles CA DEBIT CARD *2943","-2129.34","59254.04"
06/06/2022,"IN *AQUATECH WATER SYST 06/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","59229.04"
06/06/2022,"AMZN MKTP US*XO4LC8O43 06/05 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-74.44","59154.60"
06/06/2022,"AMZN MKTP US*2P7IM5LZ3 06/05 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-99.59","59055.01"
06/07/2022,"HOMEDEPOT.COM 06/03 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-704.72","58350.29"
06/08/2022,"HOMEDEPOT.COM 06/03 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-180.69","58169.60"
06/08/2022,"HOMEDEPOT.COM 06/03 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-174.18","57995.42"
06/10/2022,"AMZN MKTP US AMZN.COM/B 06/09 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","54.70","58050.12"
06/10/2022,"AMZN MKTP US AMZN.COM/B 06/10 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","27.32","58077.44"
06/10/2022,"AMZN MKTP US AMZN.COM/B 06/10 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","26.84","58104.28"
06/10/2022,"AMZN MKTP US AMZN.COM/B 06/10 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","26.84","58131.12"
06/10/2022,"AMZN MKTP US*8G5GR4NP3 06/09 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-49.26","58081.86"
06/10/2022,"AMZN MKTP US*KN8YP3QK3 06/09 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-37.91","58043.95"
06/10/2022,"AMZN MKTP US*TU22729Z3 06/09 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-9.84","58034.11"
06/13/2022,"AMZN MKTP US*6X3311UE3 06/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-16.41","58017.70"
06/13/2022,"AMZN MKTP US*I32MG5HC3 06/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-28.88","57988.82"
06/13/2022,"AMZN MKTP US*XL2ZT7JK3 06/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-21.88","57966.94"
06/13/2022,"AMZN MKTP US*BZ4DA2ON3 06/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-21.28","57945.66"
06/14/2022,"TST* Joy on York 06/12 PURCHASE Los Angeles CA DEBIT CARD *4717","-81.49","57864.17"
06/14/2022,"AMZN MKTP US*3Y47616P3 06/13 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-18.60","57845.57"
06/14/2022,"AMZN MKTP US*198VI1O22 06/13 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.32","57830.25"
06/14/2022,"Check 1116","-10000.00","47830.25"
06/15/2022,"AMZN MKTP US AMZN.COM/B 06/14 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","22.16","47852.41"
06/15/2022,"AMZN MKTP US AMZN.COM/B 06/14 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","18.75","47871.16"
06/15/2022,"AMZN MKTP US AMZN.COM/B 06/14 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","1.33","47872.49"
06/15/2022,"AMZN MKTP US AMZN.COM/B 06/15 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","1.00","47873.49"
06/15/2022,"AMZN MKTP US*E59VW0RZ3 06/14 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-6.56","47866.93"
06/16/2022,"AMZN MKTP US AMZN.COM/B 06/15 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","1.99","47868.92"
06/16/2022,"AMZN MKTP US AMZN.COM/B 06/15 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","1.33","47870.25"
06/17/2022,"GANAHL LUMBER - TORRANC 06/15 PURCHASE TORRANCE CA DEBIT CARD *4717","-5423.73","42446.52"
06/17/2022,"AMZN MKTP US*3T5IU8XS3 06/16 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-18.56","42427.96"
06/21/2022,"RALPHS #0712 06/17 PURCHASE BURBANK CA DEBIT CARD *4717","-36.69","42391.27"
06/21/2022,"WINGSTOP #658 06/17 PURCHASE BURBANK CA DEBIT CARD *4717","-77.46","42313.81"
06/21/2022,"IN N OUT BURGER 233 06/18 PURCHASE VICTORVILLE CA DEBIT CARD *4717","-21.75","42292.06"
06/21/2022,"SP CREEDBOUTIQUE.COM 06/18 PURCHASE 877-5322733 NY DEBIT CARD *4717","-482.27","41809.79"
06/21/2022,"NOBU 06/19 PURCHASE LAS VEGAS NV DEBIT CARD *4717","-700.00","41109.79"
06/21/2022,"BELLAGIO-SADELLE'S 06/20 PURCHASE LAS VEGAS NV DEBIT CARD *4717","-82.16","41027.63"
06/21/2022,"USPS PO 055449 06/21 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-8.95","41018.68"
06/22/2022,"TST* Cafe Americano - P 06/20 PURCHASE Las Vegas NV DEBIT CARD *2943","-54.84","40963.84"
06/23/2022,"GANAHL LUMBER - TORRANC 06/21 PURCHASE TORRANCE CA DEBIT CARD *4717","-2180.08","38783.76"
06/27/2022,"LA CITY PARKING METER 06/23 PURCHASE LOS ANGELES CA DEBIT CARD *4717","-1.00","38782.76"
06/27/2022,"TST* RODEO GOAT - ROCKW 06/24 PURCHASE ROCKWALL TX DEBIT CARD *4717","-51.15","38731.61"
06/27/2022,"RING YEARLY PLAN 06/25 PURCHASE HTTPSRING.COM CA DEBIT CARD *2943","-16.96","38714.65"
06/27/2022,"AMZN MKTP US*CY2159RW3 06/26 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-60.20","38654.45"
06/27/2022,"AMZN MKTP US*FB0V17HP3 06/26 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-69.50","38584.95"
06/28/2022,"AMAZON.COM*VF4D93Z13 AM 06/26 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-18.60","38566.35"
06/29/2022,"GANAHL LUMBER - TORRANC 06/27 PURCHASE TORRANCE CA DEBIT CARD *4717","-5451.86","33114.49"
06/30/2022,"GANAHL LUMBER - TORRANC 06/28 PURCHASE TORRANCE CA DEBIT CARD *4717","-1233.56","31880.93"
07/01/2022,"PRESSED JUICERY, INC. 06/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","31870.93"
07/01/2022,"BEGINYAN'S, INC. 06/30 PURCHASE N. HOLLYWOOD CA DEBIT CARD *2943","-2141.29","29729.64"
07/01/2022,"ADANA RESTAURANT INC 06/30 PURCHASE GLENDALE CA DEBIT CARD *4717","-330.00","29399.64"
07/05/2022,"GANAHL LUMBER - TORRANC 06/30 PURCHASE TORRANCE CA DEBIT CARD *4717","-4123.07","25276.57"
07/06/2022,"IN *AQUATECH WATER SYST 07/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","25251.57"
07/06/2022,"AMZN MKTP US*M17M58RL3 07/05 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.85","25235.72"
07/07/2022,"AMZN MKTP US*IU74N9H53 07/06 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-65.68","25170.04"
07/07/2022,"AMZN MKTP US*616455QQ3 07/06 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.94","25140.10"
07/08/2022,"KABOSU 07/06 PURCHASE TOLUCA LAKE CA DEBIT CARD *4717","-190.00","24950.10"
07/08/2022,"ARROYO CHOP HOUSE 07/06 PURCHASE PASADENA CA DEBIT CARD *4717","-385.00","24565.10"
07/08/2022,"AMZN MKTP US*R22SI1AT3 07/07 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-32.84","24532.26"
07/11/2022,"AMZN MKTP US*ME1QK72M3 07/06 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.55","24502.71"
07/11/2022,"AMZN MKTP US*FD1G35393 07/08 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.38","24487.33"
07/11/2022,"RALPHS #0056 1 07/09 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-13.22","24474.11"
07/13/2022,"IN N OUT BURGER 009 07/11 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-28.03","24446.08"
07/13/2022,"VONS #2111 07/13 PURCHASE NEWHALL CA DEBIT CARD *2943","-28.45","24417.63"
07/14/2022,"CA SECRETARY OF STATE W 07/11 PURCHASE 916-6951338 CA DEBIT CARD *4717","-25.00","24392.63"
07/14/2022,"CA SECRETARY OF STATE W 07/11 PURCHASE 916-6951338 CA DEBIT CARD *4717","-25.00","24367.63"
07/14/2022,"AMZN MKTP US*M36N71213 07/13 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-8.31","24359.32"
07/15/2022,"HOUSTON'S 626.577.6001 07/13 PURCHASE PASADENA CA DEBIT CARD *4717","-100.00","24259.32"
07/15/2022,"Check 1117","-2840.00","21419.32"
07/18/2022,"AMZN MKTP US*799FY3RN3 07/16 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-48.07","21371.25"
07/18/2022,"AMZN MKTP US*158PL1JB2 07/16 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-97.77","21273.48"
07/21/2022,"Check 1119","-1200.00","20073.48"
07/22/2022,"AMZN MKTP US*5Z9VZ0O53 07/21 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-145.20","19928.28"
07/22/2022,"RALPHS #0 1090 07/22 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-34.57","19893.71"
07/25/2022,"AMZN MKTP US*CL7NV2M33 07/21 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-297.60","19596.11"
07/25/2022,"AMZN Mktp US*0R3ZK3DT3 07/21 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-27.36","19568.75"
07/27/2022,"HOMEDEPOT.COM 07/25 REFUND 800-430-3376 GA DEBIT CARD *2943","176.40","19745.15"
07/27/2022,"HOMEDEPOT.COM 07/22 PURCHASE 800-430-3376 GA DEBIT CARD *2943","-149.12","19596.03"
07/28/2022,"TST* KABUKI - BURBANK 07/27 PURCHASE BURBANK CA DEBIT CARD *4717","-153.54","19442.49"
07/28/2022,"Check 1118","-380.00","19062.49"
07/28/2022,"Check 1121","-300.00","18762.49"
